Fecha,Cierre,Var,Var (%),Máx,Mín,Vol. (acciones)
2015-12-14,6.42,-0.07,-1.08,6.58,6.42,14392639
2015-12-15,6.52,0.1,1.53,6.55,6.42,14455352
2015-12-16,6.46,-0.06,-0.97,6.58,6.45,30837769
2015-12-17,6.58,0.12,1.86,6.64,6.55,24577442
2015-12-18,6.48,-0.1,-1.57,6.6,6.46,39546891
2015-12-21,6.33,-0.15,-2.33,6.39,6.22,22172363
2015-12-22,6.34,0.01,0.21,6.36,6.26,19340965
2015-12-23,6.47,0.14,2.15,6.49,6.39,23509431
2015-12-24,6.5,0.03,0.39,6.56,6.48,3795912
2015-12-28,6.47,-0.03,-0.49,6.54,6.42,9010370
2015-12-29,6.59,0.12,1.87,6.6,6.48,8952674
2015-12-30,6.58,-0.01,-0.08,6.62,6.55,7510181
2015-12-31,6.55,-0.03,-0.5,6.59,6.52,5351802
2016-01-04,6.41,-0.14,-2.08,6.5,6.37,22740229
2016-01-05,6.49,0.08,1.23,6.51,6.4,18022930
2016-01-06,6.46,-0.03,-0.49,6.5,6.4,14313426
2016-01-07,6.46,-0.01,-0.08,6.48,6.28,30090391
2016-01-08,6.42,-0.03,-0.5,6.51,6.41,15466444
2016-01-11,6.42,-0.01,-0.11,6.49,6.35,30063471
2016-01-12,6.25,-0.04,-0.57,6.31,6.22,23994182
2016-01-13,6.29,0.04,0.64,6.33,6.28,17588682
2016-01-14,6.24,-0.05,-0.84,6.28,6.18,26403501
2016-01-15,6.16,-0.09,-1.36,6.25,6.11,42542654
2016-01-18,6.13,-0.03,-0.44,6.18,6.09,20535293
2016-01-19,6.25,0.12,1.89,6.26,6.16,22668751
2016-01-20,6.17,-0.08,-1.27,6.21,6.11,26501819
2016-01-21,6.15,-0.02,-0.28,6.23,6.07,27579343
2016-01-22,6.3,0.15,2.49,6.34,6.19,25661078
2016-01-25,6.31,0.01,0.17,6.35,6.28,34920266
2016-01-26,6.36,0.04,0.7,6.37,6.22,18156983
2016-01-27,6.5,0.14,2.19,6.5,6.35,16727952
2016-01-28,6.45,-0.05,-0.71,6.54,6.39,18042211
